Sats,Rate
100,99
100,99
100,99
100,97
100,91
99,89
96,91
96,90
96,93
91,95
92,96
94,98
93,98
94,98
95,95
95,93
95,92
95,92
95,92
95,93
95,94
95,95
94,95
94,95
94,95
94,94
94,95
94,95
94,95
94,95
94,95
94,95
95,94
94,94
94,93
94,92
94,92
94,92
94,93
94,94
94,93
94,93
94,93
94,94
94,95
94,96
94,97
94,99
94,100
94,99
94,96
94,94
94,94
94,94
94,94
94,94
94,94
94,94
94,94
94,95
94,95
94,96
94,96
94,97
94,97
94,95
94,94
94,95
94,96
94,96
94,96
94,94
94,93
94,93
94,93
94,94
94,94
94,93
94,93
94,93
94,93
93,93
93,94
93,94
93,95
93,95
93,95
93,94
93,94
94,94
94,95
94,96
94,95
94,95
93,94
94,94
94,94
94,93
94,93
94,94
94,95
94,96
94,96
94,96
94,96
94,96
94,94
94,94
94,91
94,90
94,91
94,92
94,92
94,94
94,94
94,94
94,94
94,95
94,95
94,95
94,95
94,94
94,92
94,93
94,94
94,95
94,95
94,96
94,97
94,97
94,95
94,93
94,91
94,89
94,89
94,89
94,90
94,91
93,92
94,92
94,93
94,94
94,95
94,95
94,95
94,95
94,95
94,95
94,95
94,94
94,93
94,92
94,92
94,92
94,92
94,92
94,92
94,92
94,93
94,93
94,93
93,94
93,93
93,93
94,92
94,92
94,93
94,94
94,94
93,93
94,93
94,92
94,91
94,91
94,92
94,93
94,94
94,95
94,94
94,92
94,91
93,90
93,90
93,90
93,91
94,92
93,93
93,92
94,91
93,90
93,90
94,90
93,91
93,92
93,92
93,92
93,92
93,92
93,92
93,93
94,98
93,105
93,106
93,106
94,103
94,100
94,94
93,89
93,88
94,88
94,89
93,91
93,92
93,94
93,94
92,94
92,93
92,94
92,94
92,95
92,96
93,98
93,98
93,99
93,98
93,98
93,96
93,94
93,94
93,93
93,94
93,94
93,95
93,95
93,95
93,95
93,95
93,96
94,96
94,96
94,95
93,94
93,92
93,92
93,92
93,92
93,93
93,92
93,93
93,93
93,94
93,94
93,94
93,94
93,95
93,94
93,94
93,94
93,93
93,93
94,94
94,95
93,95
93,95
93,94
93,92
93,92
93,91
93,90
93,91
93,91
93,92
93,93
93,94
93,95
93,95
93,95
93,95
93,95
93,95
93,95
93,95
93,94
93,94
93,94
93,94
93,95
93,96
93,96
93,96
93,95
93,94
93,92
93,91
93,90
93,91
93,91
93,92
93,93
93,93
93,94
93,94
93,94
93,94
93,94
93,95
93,95
93,94
93,94
93,94
93,94
93,93
93,93
93,93
93,94
93,94
93,94
93,95
93,95
93,95
93,95
93,94
93,92
93,92
93,91
93,91
93,91
93,91
93,92
93,92
93,92
93,93
93,93
93,93
93,94
93,94
93,94
93,94
93,94
93,95
93,95
93,95
93,95
93,94
93,94
93,93
93,94
93,93
93,93
93,93
93,93
93,93
93,93
93,93
93,93
93,93
93,93
93,93
93,94
93,93
93,93
93,92
93,92
93,93
93,95
93,96
93,96
93,95
93,94
93,94
93,93
93,94
93,95
93,95
93,95
93,94
93,94
93,94
93,93
93,94
93,93
93,94
93,95
93,96
93,96
93,96
93,95
93,94
93,94
93,93
93,93
93,93
93,93
93,93
93,93
93,92
93,93
93,92
93,93
